gene	p_val	avg_logFC	avg_FC	pct.1	pct.2	p_val_adj	cluster		
DDIT4	0	0.602111941	1.517937028	0.886	0.703	0	1		
ATP1B1	0	0.56991556	1.484436685	0.778	0.311	0	1		
PMEPA1	0	0.567009915	1.48144998	0.792	0.33	0	1		
LGALS1	0	0.554570237	1.46873105	0.973	0.877	0	1		
VMP1	0	0.541892789	1.455881354	0.951	0.863	0	1		
ITGB4	1.35E-279	0.541805597	1.455793368	0.811	0.531	2.79E-275	1		
MT1X	0	0.537087953	1.451040666	0.502	0.144	0	1		
EPCAM	0	0.535463248	1.449407483	0.986	0.869	0	1		
ITGA2	0	0.531300326	1.445231221	0.629	0.207	0	1		
RALA	0	0.483212082	1.397852447	0.763	0.289	0	1		
PCP4	1.16E-168	0.469302553	1.384440022	0.298	0.099	2.41E-164	1		
WASF2	0	0.469150975	1.384294572	0.748	0.26	0	1		
RPL3	0	0.468533671	1.383702384	0.999	0.988	0	1		
DSG2	0	0.457720137	1.373369793	0.668	0.213	0	1		
PERP	0	0.455739704	1.371485818	0.72	0.256	0	1		
RPL8	0	0.44826488	1.364398317	1	0.996	0	1		
CD9	0	0.446892113	1.363100669	0.809	0.42	0	1		
MT2A	1.06E-265	0.445586492	1.361867638	0.664	0.286	2.19E-261	1		
WSB1	1.15E-262	0.443515743	1.359914305	0.928	0.829	2.39E-258	1		
MPZL2	0	0.440514716	1.357088415	0.653	0.207	0	1		
PLAT	3.53E-182	0.433215059	1.350239247	0.701	0.409	7.32E-178	1		
S100A10	0	0.43277382	1.349826348	0.997	0.981	0	1		
SERPINE2	0	0.432233685	1.349321077	0.409	0.082	0	1		
EIF3E	4.16E-282	0.425311431	1.342862352	0.939	0.798	8.62E-278	1		
ERO1A	0	0.425033578	1.342603751	0.583	0.212	0	1		
RPL10	0	0.423357582	1.341044938	0.999	0.998	0	1		
SERINC2	0	0.4228345	1.3405588	0.69	0.246	0	1		
NOSIP	0	0.422303316	1.340065311	0.738	0.268	0	1		
AHNAK	0	0.421252287	1.339089406	0.636	0.241	0	1		
SLC2A1	0	0.416752304	1.334919091	0.556	0.14	0	1		
PLTP	8.54E-299	0.41434855	1.332696761	0.547	0.197	1.77E-294	1		
RPL30	0	0.414252391	1.332607937	0.999	0.997	0	1		
TMEM165	0	0.413400561	1.331821339	0.708	0.284	0	1		
EEF1A1	0	0.407821789	1.32668125	1	1	0	1		
DSC2	0	0.403383743	1.322606359	0.522	0.144	0	1		
CAMK2N1	0	0.395459092	1.315361266	0.518	0.144	0	1		
TGFBI	9.36E-167	0.393984937	1.314017908	0.459	0.199	1.94E-162	1		
H3F3B	3.32E-262	0.392887281	1.313018535	0.986	0.951	6.87E-258	1		
NOP53	0	0.391517689	1.31177264	0.8	0.347	0	1		
PLOD2	0	0.389497879	1.309937409	0.565	0.181	0	1		
ITGB1	1.02E-289	0.388685887	1.309200344	0.751	0.346	2.12E-285	1		
SPCS2	3.01E-282	0.38863807	1.309156952	0.901	0.672	6.22E-278	1		
DAD1	0	0.386870145	1.307553652	0.783	0.349	0	1		
CD151	3.61E-257	0.382882171	1.303944234	0.776	0.411	7.48E-253	1		
RPS3	0	0.382218561	1.303344585	0.999	0.989	0	1		
RPL18	0	0.378709849	1.300178632	0.997	0.982	0	1		
LAPTM4A	4.81E-271	0.375783946	1.297544436	0.851	0.535	9.96E-267	1		
WFDC2	5.62E-151	0.373391619	1.295394585	0.879	0.768	1.16E-146	1		
LEPROT	0	0.371745275	1.293917178	0.653	0.244	0	1		
MSLN	2.37E-267	0.371319267	1.293535158	0.619	0.257	4.90E-263	1		
MGST3	3.92E-292	0.37107991	1.293320566	0.751	0.346	8.12E-288	1		
TMEM70	2.84E-281	0.37031374	1.292633907	0.467	0.155	5.88E-277	1		
FAU	0	0.368211081	1.290751327	0.997	0.976	0	1		
RPL9	0	0.366208257	1.288960682	0.998	0.988	0	1		
OCIAD2	2.25E-285	0.364892674	1.287785824	0.727	0.324	4.67E-281	1		
MDK	4.23E-126	0.359369176	1.282864837	0.801	0.66	8.75E-122	1		
PTPRF	0	0.358597521	1.282178854	0.609	0.213	0	1		
SLC39A6	0	0.357124757	1.280870619	0.618	0.214	0	1		
BZW1	2.07E-187	0.35706885	1.280820985	0.809	0.552	4.30E-183	1		
VEGFA	1.12E-217	0.354399339	1.278453191	0.895	0.694	2.31E-213	1		
METTL26	0	0.353305861	1.277484566	0.67	0.268	0	1		
GCC2	5.69E-298	0.352479852	1.276753356	0.688	0.288	1.18E-293	1		
TMSB10	0	0.351325964	1.2757326	1	0.999	0	1		
PCSK1N	1.87E-211	0.348968054	1.273649272	0.632	0.297	3.87E-207	1		
PLP2	4.58E-298	0.348757155	1.273463099	0.717	0.307	9.50E-294	1		
GOLGB1	4.89E-261	0.347882062	1.272690891	0.666	0.295	1.01E-256	1		
ZFAS1	1.59E-271	0.345334491	1.270445503	0.665	0.283	3.30E-267	1		
SELENOM	2.01E-253	0.344440468	1.269658465	0.821	0.425	4.17E-249	1		
RPS20	0	0.343069564	1.26845256	0.999	0.991	0	1		
ITGA3	0	0.342637421	1.268072667	0.563	0.188	0	1		
HLA-G	2.70E-267	0.341436292	1.267017361	0.421	0.132	5.60E-263	1		
FAM177A1	0	0.340854277	1.266506321	0.671	0.256	0	1		
APP	1.79E-237	0.339912934	1.265680209	0.69	0.323	3.71E-233	1		
RPS27	6.40E-301	0.339563909	1.265374045	0.999	0.994	1.33E-296	1		
PRSS23	9.12E-238	0.338794155	1.264699081	0.4	0.13	1.89E-233	1		
ADM	0	0.338112215	1.264101419	0.391	0.1	0	1		
RPL37	0	0.33654812	1.262731688	0.998	0.987	0	1		
TXNIP	1.10E-156	0.33564415	1.261940728	0.883	0.771	2.29E-152	1		
FAM83A	3.58E-268	0.334979719	1.261359677	0.526	0.192	7.42E-264	1		
TNNT1	0	0.333560319	1.260119294	0.477	0.11	0	1		
TMEM50A	2.03E-280	0.333445092	1.260018654	0.729	0.33	4.20E-276	1		
SPINT2	6.57E-236	0.332923682	1.259563347	0.885	0.6	1.36E-231	1		
RPL37A	0	0.332538915	1.259227467	0.998	0.984	0	1		
EEF1D	4.13E-238	0.332325617	1.259041307	0.987	0.941	8.56E-234	1		
G0S2	4.80E-159	0.332250377	1.258975647	0.448	0.193	9.95E-155	1		
CD59	1.04E-209	0.331531793	1.258348728	0.597	0.27	2.15E-205	1		
TMED9	6.47E-288	0.331528452	1.258345813	0.624	0.25	1.34E-283	1		
HIST1H2AC	0	0.329743404	1.256789823	0.5	0.149	0	1		
LMO7	3.54E-268	0.326257771	1.253757013	0.571	0.223	7.34E-264	1		
FLNA	1.43E-235	0.32603266	1.253561399	0.538	0.217	2.96E-231	1		
SEMA3C	0	0.32371085	1.251545594	0.416	0.11	0	1		
BLVRB	9.11E-273	0.321165805	1.249339701	0.557	0.207	1.89E-268	1		
TPD52	3.94E-295	0.320133539	1.248446103	0.548	0.195	8.15E-291	1		
TOMM20	2.25E-245	0.319610047	1.247993177	0.807	0.42	4.67E-241	1		
MBOAT2	3.07E-282	0.318186347	1.246762223	0.468	0.152	6.37E-278	1		
RPL13	4.36E-261	0.318035917	1.24663223	1	0.999	9.04E-257	1		
FNBP1L	0	0.317131987	1.245851389	0.511	0.154	0	1		
EGLN3	0	0.315636985	1.244561036	0.423	0.096	0	1		
QSOX1	0	0.315250217	1.24422743	0.47	0.133	0	1		
CD46	6.83E-278	0.315005143	1.244016088	0.564	0.214	1.41E-273	1		
RPL14	3.13E-238	0.314249833	1.243364965	0.996	0.978	6.49E-234	1		
HIST1H2BD	0	0.31412039	1.243253412	0.406	0.097	0	1		
CCNI	9.92E-156	0.314038452	1.243182803	0.878	0.757	2.05E-151	1		
MET	0	0.313956876	1.24311251	0.514	0.164	0	1		
GNB1	2.32E-272	0.309925296	1.239643508	0.582	0.226	4.80E-268	1		
RPS18	5.39E-269	0.308383094	1.238319071	1	0.998	1.12E-264	1		
GADD45A	4.02E-220	0.308207257	1.238168152	0.452	0.164	8.33E-216	1		
HIST1H1C	1.61E-184	0.307357947	1.237439462	0.55	0.25	3.33E-180	1		
AKAP9	1.96E-246	0.302910001	1.233630211	0.599	0.252	4.06E-242	1		
NET1	2.02E-217	0.301972953	1.232829213	0.597	0.259	4.18E-213	1		
CIB1	1.92E-153	0.300563039	1.231624984	0.817	0.593	3.98E-149	1		
RPS8	3.72E-253	0.300501961	1.231572844	1	0.996	7.70E-249	1		
SLC16A3	1.31E-207	0.299198493	1.230460625	0.67	0.318	2.71E-203	1		
RPL11	3.66E-262	0.29889957	1.230205703	1	0.995	7.59E-258	1		
SSR2	1.23E-223	0.298083976	1.229510432	0.712	0.346	2.56E-219	1		
TMED2	6.36E-241	0.296907479	1.228508193	0.625	0.272	1.32E-236	1		
SLC5A3	9.98E-203	0.295398252	1.227223702	0.474	0.188	2.07E-198	1		
RPL7	1.21E-209	0.290724311	1.223254263	0.999	0.986	2.50E-205	1		
ARL4D	9.59E-213	0.289135942	1.221908234	0.417	0.147	1.99E-208	1		
LAMC2	9.93E-305	0.288998179	1.221791559	0.342	0.081	2.06E-300	1		
RPS27A	4.00E-238	0.287732086	1.2207198	0.999	0.995	8.28E-234	1		
EIF3H	5.82E-198	0.285816676	1.219100173	0.8	0.447	1.21E-193	1		
NPEPPS	2.46E-251	0.285609368	1.218925006	0.534	0.203	5.10E-247	1		
TACSTD2	1.05E-129	0.284332584	1.217846736	0.577	0.302	2.18E-125	1		
RPL38	2.93E-227	0.283728521	1.217336925	0.994	0.963	6.07E-223	1		
ACTG1	2.40E-136	0.283700616	1.217313379	0.985	0.972	4.97E-132	1		
KDELR1	9.33E-225	0.283099638	1.216806393	0.67	0.312	1.93E-220	1		
CIRBP	1.70E-226	0.282674632	1.216447985	0.583	0.244	3.52E-222	1		
CLDN4	9.32E-181	0.282279011	1.216114452	0.55	0.244	1.93E-176	1		
SEZ6L2	3.32E-234	0.282233271	1.216075896	0.513	0.198	6.88E-230	1		
LMAN1	5.75E-209	0.281727165	1.215649364	0.59	0.265	1.19E-204	1		
MYO6	1.36E-213	0.28094256	1.214988417	0.598	0.262	2.81E-209	1		
MAN2A1	2.44E-302	0.280941223	1.214987291	0.446	0.131	5.05E-298	1		
ANGPTL4	7.79E-144	0.280839245	1.214901412	0.484	0.223	1.61E-139	1		
ITGB5	1.88E-275	0.278573217	1.212994675	0.452	0.144	3.89E-271	1		
RTN4	1.10E-139	0.27833773	1.212796697	0.82	0.637	2.28E-135	1		
RPS4X	1.09E-183	0.277049904	1.211714574	0.998	0.992	2.26E-179	1		
PHF14	1.90E-236	0.274847583	1.209866263	0.533	0.21	3.94E-232	1		
HSPA5	2.31E-53	0.274739644	1.209775747	0.492	0.317	4.78E-49	1		
TREM1	4.69E-104	0.273257234	1.208533307	0.686	0.445	9.70E-100	1		
SEC61G	7.83E-142	0.272598847	1.207981908	0.826	0.591	1.62E-137	1		
ODF2L	3.61E-240	0.272018976	1.207496474	0.513	0.194	7.47E-236	1		
MYDGF	3.03E-172	0.271902846	1.20739928	0.639	0.323	6.27E-168	1		
CALU	4.23E-214	0.271726059	1.207251335	0.55	0.231	8.76E-210	1		
MAP1B	4.55E-264	0.270320312	1.206075575	0.443	0.14	9.42E-260	1		
TOMM7	1.01E-200	0.269764789	1.205611254	0.955	0.857	2.09E-196	1		
NKTR	1.12E-214	0.26951499	1.205402524	0.538	0.22	2.32E-210	1		
RPS24	6.75E-231	0.2680525	1.204181201	0.999	0.996	1.40E-226	1		
TMEM106B	7.23E-272	0.267562828	1.203772553	0.471	0.155	1.50E-267	1		
RPS21	7.27E-198	0.26698113	1.203287288	0.982	0.922	1.50E-193	1		
KLF10	1.12E-222	0.266792659	1.203130102	0.457	0.168	2.31E-218	1		
JUP	3.05E-304	0.266454224	1.202847899	0.435	0.125	6.32E-300	1		
IRS1	0	0.265533399	1.202080405	0.385	0.084	0	1		
RPL39	1.18E-184	0.264573211	1.201280625	0.993	0.983	2.44E-180	1		
CPE	7.42E-104	0.264416662	1.201150279	0.347	0.161	1.54E-99	1		
SELENOK	5.30E-185	0.263807912	1.200643557	0.512	0.222	1.10E-180	1		
ITGB6	1.32E-118	0.263716532	1.200567511	0.539	0.285	2.73E-114	1		
NUDC	3.58E-189	0.262671041	1.1996978	0.547	0.244	7.41E-185	1		
DEPP1	1.17E-149	0.2619861	1.199128361	0.327	0.122	2.43E-145	1		
C15orf48	2.23E-38	0.260482322	1.197879113	0.77	0.763	4.62E-34	1		
NOL3	2.06E-263	0.259591559	1.197139735	0.438	0.139	4.27E-259	1		
MAP4K4	1.75E-248	0.259506238	1.197068938	0.471	0.163	3.62E-244	1		
YWHAZ	9.36E-138	0.259405301	1.196985189	0.905	0.803	1.94E-133	1		
SKAP2	3.21E-183	0.258759802	1.196449747	0.513	0.226	6.65E-179	1		
CLEC2B	1.38E-67	0.257198246	1.195155424	0.499	0.309	2.86E-63	1		
PPDPF	1.96E-168	0.257077405	1.195055322	0.694	0.362	4.06E-164	1		
CDA	3.00E-246	0.256138185	1.194277572	0.444	0.147	6.22E-242	1		
TUBA4A	3.42E-175	0.255412251	1.193676788	0.544	0.244	7.08E-171	1		
ENO2	5.88E-286	0.25462618	1.193026575	0.387	0.106	1.22E-281	1		
VKORC1	1.49E-184	0.253625249	1.192199149	0.538	0.239	3.08E-180	1		
RPS15	4.19E-202	0.253623307	1.192197544	0.998	0.99	8.68E-198	1		
PON2	8.77E-158	0.253429569	1.192037456	0.546	0.263	1.82E-153	1		
TMEM54	5.39E-238	0.253280573	1.191914354	0.469	0.166	1.12E-233	1		
MYL12A	9.51E-141	0.252498484	1.191268389	0.914	0.826	1.97E-136	1		
RPL13A	4.30E-198	0.251775898	1.190671881	1	0.995	8.91E-194	1		
LUC7L3	5.71E-192	0.250832437	1.189893487	0.595	0.267	1.18E-187	1		
BNIP3	1.86E-176	0.250698612	1.189783117	0.421	0.166	3.84E-172	1		
MALAT1	0	1.206221249	2.30732503	1	1	0	2	Metastasis Associated Lung Adenocarcinoma Transcript 1	"This gene produces a precursor transcript from which a long non-coding RNA is derived by RNase P cleavage of a tRNA-like small ncRNA (known as mascRNA) from its 3' end. The resultant mature transcript lacks a canonical poly(A) tail but is instead stabilized by a 3' triple helical structure. This transcript is retained in the nucleus where it is thought to form molecular scaffolds for ribonucleoprotein complexes. It may act as a transcriptional regulator for numerous genes, including some genes involved in cancer metastasis and cell migration, and it is involved in cell cycle regulation. Its upregulation in multiple cancerous tissues has been associated with the proliferation and metastasis of tumor cells. [provided by RefSeq, Mar 2015]"
WSB1	0	1.009533385	2.01325984	0.947	0.829	0	2	WD Repeat And SOCS Box Containing 1	"This gene encodes a member of the WD-protein subfamily. This protein shares a high sequence identity to mouse and chick proteins. It contains several WD-repeats spanning most of the protein and an SOCS box in the C-terminus. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
VMP1	0	0.943068339	1.922612927	0.965	0.863	0	2	Vacuole Membrane Protein 1	"This gene encodes a transmembrane protein that plays a key regulatory role in the process of autophagy. The ectopic overexpression of the encoded protein in cultured cells triggers autophagy even under nutrient-rich conditions. This gene is overexpressed in pancreatitis affected acinar cells where the encoded protein mediates sequestration and degradation of potentially deleterious activated zymogen granules in a process termed, zymophagy. [provided by RefSeq, Jul 2016]"
JUN	0	0.887486581	1.849950388	0.951	0.843	0	2	"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit"	"This gene is the putative transforming gene of avian sarcoma virus 17. It encodes a protein which is highly similar to the viral protein, and which interacts directly with specific target DNA sequences to regulate gene expression. This gene is intronless and is mapped to 1p32-p31, a chromosomal region involved in both translocations and deletions in human malignancies. [provided by RefSeq, Jul 2008]"
XIST	0	0.883614627	1.844992084	0.919	0.695	0	2	X Inactive Specific Transcript	"X inactivation is an early developmental process in mammalian females that transcriptionally silences one of the pair of X chromosomes, thus providing dosage equivalence between males and females. The process is regulated by several factors, including a region of chromosome X called the X inactivation center (XIC). The XIC comprises several non-coding and protein-coding genes, and this gene was the first non-coding gene identified within the XIC. This gene is expressed exclusively from the XIC of the inactive X chromosome, and is essential for the initiation and spread of X-inactivation. The transcript is a spliced RNA. Alternatively spliced transcript variants have been identified, but their full length sequences have not been determined. Mutations in the XIST promoter cause familial skewed X inactivation. [provided by RefSeq, Apr 2012]"
TCIM	0	0.841084515	1.791396279	0.74	0.31	0	2		
ELF3	0	0.746179892	1.677345507	0.744	0.352	0	2		
NEAT1	0	0.735182766	1.664608335	0.982	0.939	0	2		
VEGFA	0	0.708779276	1.63442058	0.95	0.692	0	2		
ANGPTL4	0	0.597511853	1.513104735	0.6	0.216	0	2		
CLDN4	0	0.547293055	1.461341191	0.63	0.241	0	2		
NKTR	0	0.512573369	1.426592574	0.638	0.215	0	2		
AHNAK2	0	0.505515399	1.419630424	0.659	0.206	0	2		
ABCC3	0	0.474690316	1.389619897	0.66	0.235	0	2		
ODF2L	0	0.393292668	1.313387535	0.57	0.194	0	2		
TANC2	0	0.372176696	1.294304166	0.453	0.118	0	2		
EGOT	0	0.2878784	1.220843607	0.285	0.051	0	2		
SLC25A37	6.32E-291	0.351580513	1.275957709	0.479	0.147	1.31E-286	2		
PPP1R15A	7.27E-286	0.564068516	1.478432643	0.577	0.22	1.51E-281	2		
PRKCA	1.32E-280	0.258263696	1.196038389	0.332	0.075	2.74E-276	2		
NPEPPS	8.60E-279	0.369215946	1.291650673	0.569	0.206	1.78E-274	2		
HSPA1B	2.21E-278	0.3763285	1.298034294	0.405	0.112	4.57E-274	2		
ERRFI1	2.76E-275	0.545674811	1.459702951	0.906	0.721	5.72E-271	2		
BHLHE40	5.69E-275	0.358714568	1.282282882	0.612	0.235	1.18E-270	2		
PHF14	1.30E-273	0.361747423	1.284981352	0.574	0.213	2.70E-269	2		
RSRP1	2.17E-266	0.369168914	1.291608566	0.544	0.197	4.50E-262	2		
PLEC	1.30E-264	0.408893315	1.327666976	0.662	0.28	2.70E-260	2		
NET1	2.73E-261	0.402960922	1.32221879	0.64	0.262	5.64E-257	2		
HSPA1A	9.95E-255	0.801570525	1.74299753	0.586	0.25	2.06E-250	2		
TAF1D	5.03E-249	0.394557432	1.314539444	0.621	0.261	1.04E-244	2		
LUC7L3	7.29E-247	0.423433414	1.341115429	0.626	0.27	1.51E-242	2		
HOOK2	7.62E-247	0.256825085	1.194846331	0.354	0.094	1.58E-242	2		
MYO6	2.68E-243	0.370413479	1.292723274	0.631	0.265	5.54E-239	2		
CCNL1	2.99E-241	0.373222545	1.295242783	0.541	0.206	6.20E-237	2		
AC020916.1	1.31E-240	0.293216692	1.225369368	0.384	0.112	2.72E-236	2		
DST	1.58E-240	0.340503095	1.266198064	0.511	0.185	3.28E-236	2		
ATP1B1	3.12E-233	0.46409574	1.379452462	0.71	0.329	6.47E-229	2		
ITGA3	5.43E-231	0.325816682	1.253373748	0.53	0.2	1.13E-226	2		
AGRN	3.73E-227	0.320274352	1.248567962	0.527	0.2	7.73E-223	2		
IER3	4.71E-226	0.565297903	1.47969302	0.885	0.759	9.75E-222	2		
PTPRF	9.34E-226	0.306951111	1.237090556	0.571	0.226	1.93E-221	2		
MSLN	5.44E-222	0.345962962	1.270999058	0.622	0.264	1.13E-217	2		
SRSF11	8.99E-222	0.357218455	1.280953811	0.684	0.321	1.86E-217	2		
VEZT	5.59E-221	0.284805573	1.218246074	0.455	0.159	1.16E-216	2		
PDE7A	6.31E-216	0.269693557	1.205551729	0.339	0.096	1.31E-211	2		
PMEPA1	1.32E-215	0.411991307	1.330521024	0.718	0.349	2.74E-211	2		
ASH1L	1.09E-213	0.304387342	1.234894113	0.523	0.208	2.26E-209	2		
KANSL1	1.17E-213	0.278731474	1.213127742	0.402	0.133	2.42E-209	2		
HGSNAT	7.23E-211	0.259767982	1.197286138	0.394	0.128	1.50E-206	2		
GPRC5A	6.22E-209	0.372467173	1.294564793	0.575	0.242	1.29E-204	2		
DDIT4	1.95E-203	0.539406795	1.453374798	0.865	0.709	4.04E-199	2		
NFKBIZ	2.98E-201	0.313209197	1.242468432	0.474	0.178	6.16E-197	2		
ANKRD36C	4.78E-201	0.416398899	1.334592127	0.358	0.113	9.90E-197	2		
FOSB	2.74E-198	0.55425636	1.468411543	0.557	0.254	5.68E-194	2		
LAMB3	2.77E-197	0.410807894	1.329430072	0.669	0.313	5.74E-193	2		
KCNQ1OT1	2.89E-194	0.293349389	1.225482081	0.339	0.104	5.99E-190	2		
ANKRD28	3.12E-194	0.273724495	1.208924791	0.419	0.15	6.46E-190	2		
TACSTD2	6.94E-190	0.403843551	1.32302796	0.635	0.301	1.44E-185	2		
AKAP9	2.68E-187	0.299746944	1.230928484	0.581	0.261	5.55E-183	2		
PNN	1.21E-186	0.328640492	1.2558294	0.582	0.267	2.50E-182	2		
N4BP2L2	1.37E-186	0.324700957	1.252404812	0.58	0.261	2.84E-182	2		
TCF25	5.68E-185	0.329705376	1.256756696	0.594	0.278	1.18E-180	2		
TMEM165	5.08E-183	0.338098701	1.264089577	0.634	0.302	1.05E-178	2		
THBS1	4.46E-180	0.385378764	1.306202671	0.332	0.105	9.24E-176	2		
GCC2	3.60E-177	0.298290582	1.229686521	0.632	0.303	7.46E-173	2		
GOLGB1	1.07E-176	0.317904481	1.246518661	0.63	0.307	2.22E-172	2		
PTGS2	1.37E-175	0.567552663	1.482007412	0.812	0.648	2.84E-171	2		
ZRANB2	6.89E-174	0.266221966	1.202654269	0.472	0.192	1.43E-169	2		
GLS	6.92E-174	0.297244487	1.228795201	0.431	0.166	1.43E-169	2		
DDX17	3.55E-173	0.32659962	1.254054128	0.595	0.285	7.35E-169	2		
CD46	4.30E-172	0.258883095	1.196552	0.526	0.226	8.91E-168	2		
NRP2	1.37E-170	0.273696036	1.208900944	0.396	0.146	2.84E-166	2		
SLC2A1	9.42E-170	0.26717415	1.203448287	0.427	0.164	1.95E-165	2		
MACF1	1.81E-165	0.278783366	1.213171377	0.527	0.234	3.74E-161	2		
KLF10	2.36E-163	0.256857377	1.194873075	0.439	0.176	4.88E-159	2		
ITGB6	3.87E-162	0.343372839	1.268719235	0.598	0.284	8.02E-158	2		
IER2	1.13E-160	0.509576332	1.423632064	0.76	0.547	2.34E-156	2		
SRSF7	9.52E-160	0.414913311	1.333218564	0.589	0.297	1.97E-155	2		
ZNF207	2.74E-157	0.260622946	1.197995879	0.459	0.193	5.68E-153	2		
AHNAK	1.73E-156	0.279221129	1.213539551	0.56	0.258	3.57E-152	2		
PLAT	4.98E-156	0.522900403	1.43684098	0.695	0.416	1.03E-151	2		
DSG2	4.81E-154	0.25410737	1.192597626	0.533	0.238	9.97E-150	2		
SAT1	9.90E-149	0.500729332	1.414928677	0.924	0.9	2.05E-144	2		
ITGA2	7.63E-148	0.256330774	1.19443701	0.518	0.229	1.58E-143	2		
HILPDA	1.55E-147	0.371844562	1.294006229	0.377	0.146	3.21E-143	2		
PCP4	1.76E-142	0.48025747	1.394992601	0.301	0.103	3.65E-138	2		
MCL1	2.95E-139	0.317575924	1.246234813	0.61	0.313	6.12E-135	2		
GADD45B	3.33E-139	0.332152503	1.25889024	0.456	0.205	6.90E-135	2		
DNAJB1	1.72E-138	0.315825549	1.244723714	0.446	0.2	3.57E-134	2		
ZFP36L1	3.50E-137	0.323512398	1.251373448	0.911	0.847	7.25E-133	2		
TTC3	1.56E-132	0.250404948	1.189540959	0.538	0.266	3.23E-128	2		
SRSF2	8.36E-130	0.254566826	1.192977494	0.558	0.284	1.73E-125	2		
ATRX	9.33E-130	0.256272242	1.194388552	0.531	0.263	1.93E-125	2		
PON2	5.76E-129	0.267449538	1.203678029	0.537	0.27	1.19E-124	2		
SLC5A3	2.07E-128	0.26457401	1.20128129	0.443	0.198	4.29E-124	2		
DUSP1	6.96E-128	0.363188334	1.286265386	0.6	0.325	1.44E-123	2		
DDX5	3.76E-126	0.322088346	1.250138854	0.932	0.897	7.79E-122	2		
SOX4	1.01E-123	0.304095993	1.234644754	0.635	0.34	2.10E-119	2		
G0S2	1.27E-123	0.435158884	1.352059727	0.433	0.201	2.63E-119	2		
DEPP1	2.94E-123	0.269758465	1.205605969	0.327	0.127	6.10E-119	2		
RHOB	2.89E-104	0.289321029	1.222065006	0.474	0.244	5.98E-100	2		
ITGB4	1.67E-103	0.273419671	1.208669387	0.766	0.542	3.47E-99	2		
NDRG1	1.84E-103	0.306519197	1.236720252	0.677	0.401	3.82E-99	2		
GADD45A	7.77E-99	0.26911613	1.205069313	0.378	0.179	1.61E-94	2		
CXCL2	1.69E-95	0.385765393	1.306552769	0.449	0.231	3.51E-91	2		
TM4SF1	3.71E-75	0.279466376	1.213745861	0.871	0.813	7.68E-71	2		
CXCL14	2.00E-73	0.930575094	1.906035637	0.299	0.147	4.15E-69	2		
NFKBIA	7.23E-73	0.581320608	1.496218224	0.721	0.692	1.50E-68	2		
C15orf48	5.52E-69	0.298001663	1.229440285	0.827	0.756	1.14E-64	2		
CXCL1	2.48E-66	0.287882625	1.220847183	0.294	0.143	5.13E-62	2		
IGFBP3	1.38E-62	0.260688858	1.198050613	0.282	0.137	2.86E-58	2		
TCN1	0	1.629809823	3.094722013	0.981	0.649	0	3		
SAA1	0	1.345907649	2.541900659	0.515	0.091	0	3		
CP	0	1.225161298	2.337815857	0.614	0.14	0	3		
LCN2	0	1.219650881	2.328903532	0.715	0.17	0	3		
TFPI2	0	1.128901922	2.186922237	0.941	0.716	0	3		
WFDC2	0	1.050806914	2.071688241	0.976	0.763	0	3		
